node,CLUSTER,s_eq,eigenvector_centrality,conexiones_anomalas,indice_frontera,d_anom,p_anom,degree_total
Jos van Tilburg,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Rushemy Botter,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
TikTok creators,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
Hermès,0,-1.0,0.0,0.0,0.0,0,0.0,8
Noëmie Leclercq,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Chinese Government,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Joseph Nye,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Corte Interamericana de Derechos Humanos,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Tribunales ordinarios de justicia de Chile,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Organización de las Naciones Unidas,0,1.0,0.0,0.0,0.0,0,0.0,3
Alcalde de San Pedro de Atacama,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Zhao Ping,0,-1.0,0.0,0.0,0.0,0,0.0,1
Consejo Chino para la Promoción del Comercio Internacional,-1,-1.0,0.0015149080649766093,0.0,0.0,0,0.0,2
Medios oficiales chinos,-1,-1.0,0.0015149080649766095,0.0,0.0,0,0.0,1
Ignacio Malig,-1,-1.0,-0.02800252625687657,0.0,0.0,0,0.0,1
Alberto Pizarro,-1,-1.0,0.028002526256876572,0.0,0.0,0,0.0,1
Fernando Filoni,1,1.0,-7.578518425003571e-19,0.0,0.0,0,0.0,1
Lori Williams,0,1.0,0.0,0.0,0.0,0,0.0,1
Montse,0,0.0,0.0,3.0,0.6931471805599453,0,0.0,6
Macarena Strube,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Mauricio Serna,0,1.0,0.0,0.0,0.0,0,0.0,1
Escarlette Gálvez,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
María José García,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Rodríguez,-1,-0.2,0.00567507459320868,2.8000000000000003,0.5340004266929361,1,0.5,7
Jaime Coloma,1,0.2,0.0031416513942473796,2.4000000000000004,0.48951017264884644,0,0.0,6
Rodrigo Sarquis,0,1.0,0.0,0.0,0.0,0,0.0,2
Gabriel Barros Donoso,1,1.0,-4.562111403904773e-19,0.0,0.0,0,0.0,2
Ignacio Sobarzo,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Ewald Stark,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
Tibor Machan,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Smith and Sarabi,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Consorcio Financiero,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Shachi Kurl,-1,-1.0,-1.0122317395897851e-18,0.0,0.0,0,0.0,1
Sandra Quijada,0,-1.0,0.0,0.0,0.0,0,0.0,2
Cristián Larroulet,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
Néstor Camarillo,0,0.0,0.0,3.0,0.6931471805599453,0,0.0,6
Lucie Castets,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
François Ruffin,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Henry Leal Bizama,0,1.0,0.0,0.0,0.0,0,0.0,1
Axel Sepúlveda Acevedo,1,1.0,0.007825206166201505,0.0,0.0,0,0.0,2
Jimmy Natale Uranga,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Mauricio Céspedes Peregrina,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Pedro Guerra Loins,-1,-1.0,9.144026428946051e-19,0.0,0.0,0,0.0,2
James Jensen,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
